action_id,requirement_family,control_ref,scope_eir,workstream,source_ref,source_type,source_page,source_confidence,finding_summary,task,deliverable,evidence_required,priority,phase,status,human_owner,human_approver,deadline_basis,target_offset_days,target_date,cost_band,spend_timing,purchase_trigger,ai_eligibility,ai_role,human_gate,dependencies,external_submission,notes
A-011,1;6,1.5;6.36,Mind,EIR- és eszközleltár,SRC-008,audit_gap,6;25;153;242;332,audited,"Az EIR- és rendszerelem-nyilvántartás nem teljesen naprakész, a felelős és frissítési rend hiányos.","Frissítse az EIR-, eszköz-, adat-, tulajdonos-, helyszín- és függőségi leltárt.",Jóváhagyott EIR/asset/dependency register.,"Read-only exportok, tulajdonosi jóváhagyás, adatfolyam- és függőségi lista.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,20,2026-07-16,B0,NOW_B0,,yes,control_mapper,G1_DOMAIN_REVIEW,,no,
A-012,1,,Mind,Evidenciakezelés,SRC-008,audit_gap,7,audited,A gyakorlati megvalósítást igazoló evidencia nagyfokú hiánya a végső eredmény fő oka.,"Vezesse be az evidence manifestet és acceptance workflow-t: forrás, dátum, EIR, kontroll, hash, készítő, reviewer, státusz.",Működő evidence register és review workflow.,"védett belső URI-k, hash manifest, review log, visszautasítási okok.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,14,2026-07-10,B0,NOW_B0,,yes,evidence_curator,G2_SECURITY_LEGAL,A-003,no,
A-013,9,9.1;9.2;9.9;9.34,Szervezet,Incidenskezelés,SRC-008,audit_gap,45–51,audited,"Az eseménykezelési felelősség, képzés, bejelentés, reagálás, helyreállítás és tervfrissítés hiányos.","Formalizálja az incidens-életciklust, kontaktpontot, szerepköröket, playbookokat és hajtson végre tabletop gyakorlatot.",Incidenskezelési terv és gyakorlatjegyzőkönyv.,"Kontaktlista, ticket/timeline, döntések, lessons learned, javító akciók és résztvevői nyom.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,60,2026-08-25,B0,NOW_B0,,yes,remediation_planner,G2_SECURITY_LEGAL,,no,
A-014,3,3.1;3.13,Szervezet,Tudatosság és képzés,SRC-008,audit_gap,38–44,audited,"A szerepkör-alapú képzés, megismertetés és képzési evidencia hiányos.","Készítsen minimum szerepkör-alapú képzési programot, tudásellenőrzést és bizonyítható nyilvántartást.","Képzési terv, anyag, teszt és nyilvántartás.","Jelenlét/átvétel, teszteredmény, anyagverzió, utánkövetés.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,60,2026-08-25,B0,NOW_B0,,yes,remediation_planner,G1_DOMAIN_REVIEW,,no,
A-015,2;8,2.2;8.1;8.2,Mind,Identitás és hozzáférés,"SRC-008:p116,205,295|SRC-003:p3",audit_and_strategy,116;205;295;stratégia 3. oldal,audited,"A fiókkezelés, minimális jogosultság, szerepkör és életciklus gyakorlati működése hiányos; a stratégia AD-tisztítást és egységes onboarding/offboardingot ír elő.","Készítsen read-only stale/duplicate account és kritikus hozzáférési review-t, majd onboarding/offboarding eljárást.",Access review csomag és jóváhagyott életciklus-eljárás.,"Read-only export, alkalmazásgazdai döntések, change ticket és visszaellenőrzés.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,45,2026-08-10,B0,NOW_B0,,partial,evidence_curator,G3_PRODUCTION_CHANGE,,no,
A-016,8,8.3,Mind,MFA,"SRC-008:p167,257,346|SRC-003:p3",audit_and_strategy,167;257;346;stratégia 3. oldal,audited,A privilegizált fiókok többtényezős hitelesítése nem igazolt; a stratégia MFA-t tervez a fő rendszerekben.,"Végezzen licenc- és technikai gap analysis-t, majd meglévő entitlementtel kockázatarányos privilegizált MFA pilotot.",MFA gap analysis és pilot report.,"Licencmátrix, pilot scope, siker/hiba napló, rollback és jóváhagyás.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,60,2026-08-25,B0,AFTER_VALIDATION,Fizetős licenc csak igazolt entitlement gap és sikeres pilot után.,yes,cost_guard,G3_PRODUCTION_CHANGE;G5_PURCHASE,A-029,no,
A-017,7,7.2;7.35;7.43,Mind,Mentés és helyreállítás,SRC-008,audit_gap,158;163–164;247;252–253;337;342–343,audited,"A mentési lefedettség, biztonságos tárolás, RPO/RTO, helyreállítási eljárás és teszt bizonyíthatósága hiányos.",Határozza meg a backup scope/RPO/RTO mátrixot és hajtson végre dokumentált restore tesztet kritikus EIR mintán.,Backup matrix és restore test report.,"Job log, helyreállított objektum/rendszer, időtartam, hiba, RPO/RTO összevetés és jóváhagyás.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,30,2026-07-26,B0,NOW_B0,,partial,evidence_curator,G3_PRODUCTION_CHANGE,,no,
A-018,4;5,4.2;4.3;4.5;4.7;4.13;5.15,Mind,Naplózás és felügyelet,SRC-008,audit_gap,126–135;216–224;305–314,audited,"A naplóforrások, tartalom, tárkapacitás, hibariasztás, rendszeres review és jelentés hiányos.","Hozzon létre minimum log source matrixot, retentiont, hibariasztást és napi/heti review eljárást meglévő eszközökkel.","Log source matrix, retention és review log.","Mintalog, alert teszt, review ticket, retention proof, exception log.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,75,2026-09-09,B0,NOW_B0,,yes,remediation_planner,G1_DOMAIN_REVIEW,,no,
A-019,6;10;18,6.1;6.2;10.1;18.2,Mind,"Konfiguráció, patch, karbantartás",SRC-008,audit_gap,54–59;146–153;196;238–242;285;328–334;375,audited,"A baseline, változás, patch, karbantartási felülvizsgálat és hibajavítás nem egységesen működik vagy bizonyítható.","Vezessen be baseline-, patch-, karbantartási- és változásnaptárt bizonyítékokkal, kivétel- és rollback-kezeléssel.",Jóváhagyott maintenance/patch/change workflow.,"Baseline export, patch report, change ticket, exception, rollback proof.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,45,2026-08-10,B0,NOW_B0,,yes,remediation_planner,G3_PRODUCTION_CHANGE,,no,
A-020,12,12.1;12.2;12.6;12.17;12.22;12.31;12.33;12.40;12.42,Szervezet,Fizikai védelem,SRC-008,audit_gap,65–75,audited,"A belépési jogosultság, ellenőrzött belépés, fizikai napló, felügyelet és több környezeti kontroll hiányos vagy evidencia nélküli.","Végezzen dokumentált helyszíni bejárást, rögzítse a költségmentes gyorsjavításokat, és készítsen kockázatalapú fizikai javítási tervet.",Fizikai gap register és evidence csomag.,"Checklist, dátumozott fotó, belépési lista, tesztjegyzőkönyv, intézkedési terv.",P0,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,30,2026-07-26,B0,NOW_B0,,partial,evidence_curator,G2_SECURITY_LEGAL,,no,
A-021,19,19.1;19.4,Mind,Ellátási lánc,SRC-008:p101–112|SRC-003:p2,audit_and_strategy,101–112;stratégia 2. oldal,audited,"Az ellátásilánc-kockázatkezelési szabály, felelős, követelmény és beszállítói nyilvántartás hiányos.","Készítsen beszállítói leltárt, kritikalitást, szerződéses kontroll-gapet és felülvizsgálati naptárt.",Supplier risk register és review terv.,"Szerződéslista, kérdőív, kockázati döntés, hiánylista és review proof.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,75,2026-09-09,B0,NOW_B0,,yes,control_mapper,G1_DOMAIN_REVIEW,,no,
A-022,10;18,,Infrastruktúra,Műszaki validáció,SRC-004,internal_claim,munkadokumentum 155–159. bekezdés,unverified_internal,"A munkadokumentum RAID-hibát, kritikus lemeztelítettséget és szűk backup-kapacitást állít, de ezek nem auditált tények.","Read-only módszerrel azonnal validálja a hivatkozott hostok, VM-ek, lemezek, RAID és backup állapotát; semmit ne módosítson.",Aláírt technikai health snapshot és eltéréslista.,"Időbélyeges read-only export, RAID log, kapacitás, VM-lista, backup status és reviewer.",P0,M0_STARTUP,NEW,Pásztor András,Lángi Zoltán,risk_trigger,2,,B0,NOW_B0,,partial,evidence_curator,G3_PRODUCTION_CHANGE,,no,A forrás állítása csak a validáció után minősíthető ténynek.
A-023,10;18,,Infrastruktúra,Műszaki stabilizálás,SRC-004|A-022,conditional_remediation,munkadokumentum; validációs eredmény,conditional,"Ha A-022 igazolja a kapacitás- vagy adatvesztési kockázatot, kontrollált stabilizálási terv szükséges.",Készítsen freespace/backup-protection emergency change tervet; törlés vagy áthelyezés csak tulajdonosi jóváhagyással.,Jóváhagyott emergency change plan vagy dokumentált no-action döntés.,"Pre/post metrika, backup proof, törlési/áthelyezési jóváhagyás, rollback.",P0,M0_STARTUP,NEW,Pásztor András,Lángi Zoltán,after_dependency_completion,1,,B0,NOW_B0,,partial,remediation_planner,G3_PRODUCTION_CHANGE,A-022,no,
A-024,7;10;18,,Infrastruktúra,Kapacitás és VM-elhelyezés,SRC-004|A-022|A-029,internal_claim_and_validation,munkadokumentum,unverified_internal,"A régi VM-ek biztonságos elhelyezése, hostkapacitása, mentése és licence nyitott.","Készítsen VM dependency-, placement-, capacity-, backup- és licence-tervet; végrehajtás nélkül.",Migration/containment decision package.,"Kapacitásmodell, dependency map, test, rollback, licenc review és kockázatelfogadás.",P1,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,after_dependency_completion,14,,B0,AFTER_VALIDATION,B1–B3 csak bizonyított belső kapacitáshiány vagy üzletmeneti kockázat után.,yes,cost_guard,G3_PRODUCTION_CHANGE;G5_PURCHASE,A-022;A-029,no,
A-025,17,,Irodai,Exchange függőség,"SRC-003:p1,3,7|SRC-004",strategy_and_internal,"stratégia 1.,3.,7. oldal; munkadokumentum",strategy_input,"Az Exchange kiváltása stratégiai cél, de relay- és alkalmazásfüggőségek az átállást blokkolhatják.",Készítsen teljes SMTP relay/client dependency leltárt és teszttervet minden migrációs döntés előtt.,Exchange dependency register és tesztterv.,"SMTP log minta, eszköz-/alkalmazásgazda sign-off, teszteredmény és rollback.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,management_schedule,30,,B0,NOW_B0,,yes,control_mapper,G1_DOMAIN_REVIEW,,no,
A-026,7;13;18,,Irodai,Legacy megőrzés,SRC-004,internal_claim,"munkadokumentum 111–114., 165–166. bekezdés",unverified_internal,"A BLADE5/Andoc adatmegőrzési, migrációs és read-only archiválási helyzete nem tisztázott.","Készítsen jogi megőrzési, adat-, alkalmazás-, export-, restore/read-test és migrációs döntési csomagot.",Jóváhagyott retention/migration decision.,"Jogi állásfoglalás, adatlista, export/restore/read test, owner approval.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,management_schedule,45,,B0,NOW_B0,,partial,report_writer,G2_SECURITY_LEGAL,,no,
A-027,2;17,,Irodai,RDS szeparáció,SRC-004,internal_working_safeguard,"munkadokumentum 133–137.,164. bekezdés",unverified_internal,"Az RDS-összevonás költségelőnye nem igazolt, és szeparációs/kulcskezelési kockázatot hordozhat.","Tartsa fenn a szeparációt, amíg licenc-, banki/könyvelési kulcs-, workload- és kockázatelemzés nem igazolja az összevonást.",RDS decision record.,"User/CAL mátrix, secret/key scope, teljesítményadat, kockázati sign-off.",P2,M3_3_6M,NEW,Pásztor András,Lángi Zoltán,management_schedule,60,,B0,NOW_B0,,yes,cost_guard,G3_PRODUCTION_CHANGE,,no,
A-028,6;17,,Infrastruktúra,AD/DHCP konszolidáció,SRC-004,internal_working_idea,"munkadokumentum 34–36.,118–120.,172. bekezdés",unverified_internal,"A négy AD/DHCP VM kettőre konszolidálása felmerült, de a HA-, telephely-, DNS/DHCP- és licenchatás nincs igazolva.","Csak assessmentet készítsen szerepkör, HA, site, DNS/DHCP, backup, licenc és rollback vizsgálattal.",AD/DHCP consolidation assessment.,"Current role export, failure scenario, test plan, licenc- és rollback-hatás.",P2,M3_3_6M,NEW,Pásztor András,Lángi Zoltán,management_schedule,60,,B0,NOW_B0,,yes,remediation_planner,G3_PRODUCTION_CHANGE,,no,
A-029,16,16.3;16.99,Mind,Licenc és támogatás,"SRC-008:p182,185,271,274,361,364|SRC-004",audit_and_internal,182;185;271;274;361;364;munkadokumentum,audited,A licenc/szoftverhasználat követése és a támogatásukat vesztett rendszerelemek kezelése hiányos; a konszolidáció jogszerűsége nyitott.,"Végezzen Windows Server, RDS, M365, Defender, virtualizáció és releváns alkalmazások entitlement/támogatási auditját.",License entitlement and support matrix.,"Szerződés/SAM export, host/core/VM/user mapping, support lifecycle és reviewer sign-off.",P1,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,30,2026-07-26,B0,NOW_B0,,partial,cost_guard,G5_PURCHASE,,no,
A-030,1,,Mind,Repeat audit,SRC-001,authority_obligation,1–2,authority,A megismételt audit legkésőbb 2027.12.31-ig esedékes.,"Készítse el a jóváhagyott 2027.09.30-i belső céldátumhoz tartozó negyedéves readiness gate-eket és legalább egy mock audit ütemezését.",Repeat-audit roadmap.,"Jóváhagyott target, mock audit naptár, javítási buffer és auditor-procurement gate.",P1,M4_REPEAT_AUDIT,NEW,Pásztor András,Lángi Zoltán,fixed_approved,,2027-09-30,B0,NOW_B0,,yes,orchestrator,G4_EXTERNAL_SUBMISSION,,yes,"A 2027.09.30-i belső céldátumot Lángi Zoltán 2026-07-14-én jóváhagyta; lásd D-021."
A-031,1,,Mind,AI-irányítás,DERIVED_FROM_PROJECT_RISK,project_control,n/a,derived,"A projekt korlátozott audit- és infrastruktúra-adatot kezel, miközben AI-ügynököket kíván használni.","Hirdesse ki az AI-adatminősítési, redakciós, forráshierarchia-, prompt-injection- és proposal-only szabályt.",Jóváhagyott AI usage rule és felhasználói visszaigazolás.,"Policy note, acknowledgement, minta redakció, környezetengedély.",P0,M0_STARTUP,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,7,2026-07-03,B0,NOW_B0,,yes,orchestrator,G2_SECURITY_LEGAL,,no,
A-032,1,,Mind,Agent QA és eval,DERIVED_FROM_PROJECT_RISK,project_control,n/a,derived,Auditfolyamatban az AI-kimenet csak mérhető minőségkapuval használható.,Hozzon létre helyi eval-harness-t és legalább 10 emberileg jóváhagyott gold case-t.,"Eval baseline, gold cases és defect log.","Tesztfutás, reviewed examples, trace/output, hibajegy és javítási kör.",P1,M1_0_30D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,21,2026-07-17,B0,NOW_B0,,yes,qa_auditor,G1_DOMAIN_REVIEW,,no,
A-033,15;18,15.9;18.2,Mind,Sérülékenységkezelés,SRC-008,audit_gap,178;196;267;285;357;375,audited,Nincs rendszeres sérülékenységelemzés és egységes javítási folyamat.,"Definiálja a scope-ot, credentialed/non-intrusive módot, javítási SLA-t és használja először a meglévő eszközöket.",Vulnerability assessment and remediation plan.,"Scope, G3 approval, scan log, finding register, remediation ticket és retest.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,90,2026-09-24,B0,AFTER_PILOT,Külső scan csak dokumentált belső capability gap vagy auditkövetelmény után.,yes,cost_guard,G3_PRODUCTION_CHANGE;G5_PURCHASE,,no,
A-034,1;17,,Hálózat-kommunikációs;Biztonsági,EIR scope,SRC-008,audit_scope_gap,6,audited,Két azonosított EIR nem került audit alá.,"Dokumentálja a két EIR scope-ját, tulajdonosát, assetjeit, függőségeit és következő audit/readiness tervét.",EIR scope and readiness record.,"EIR definition, owner sign-off, asset/dependency list és döntési napló.",P2,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,90,2026-09-24,B0,NOW_B0,,yes,control_mapper,G1_DOMAIN_REVIEW,,no,
A-035,1,,Mind,Forrásverzió-kezelés,SRC-001|SRC-008,canonical_source_resolution,SRC-001:1; SRC-008:borító;387–388,audited,"A határozat 2026.06.05-i hivatkozásával egyező, aláírt és a projektgazda szerint hatósághoz beadott SRC-008 rendelkezésre áll; az SRC-002 történeti változat.","Rögzítse az SRC-008 védett tárhivatkozását és a D-025 szerinti G2 emberi review elfogadását.",Jóváhagyott canonical source record.,"SRC-008 fájl, SHA-256, aláírásstruktúra-metaadat, összehasonlítási jegyzőkönyv, D-025 és reviewer.",P0,M0_STARTUP,IN_PROGRESS,Pásztor András,Lángi Zoltán,receipt_date_plus_days,3,2026-06-29,B0,NOW_B0,,partial,evidence_curator,G2_SECURITY_LEGAL,,no,"Kanonikus fájl SHA-256: c347dc3139dd433ace098b6145f1ea5d043614dcfcbf7ed46f71e1b405c5058f. A projektgazda 2026-07-15-én az aláírás érvényességét emberileg megerősítette. A D-026 alapján a folyamat továbbhaladhat; a védett tárhivatkozás és reviewer-rekord a DEF-002 tétel szerint pótlandó, ezért az akció nem DONE."
A-036,1,,Mind,Projektirányítás,DERIVED|SRC-001:p2,project_control,2,authority,"A külső terv név szerinti felelősöket igényel, miközben az induló backlog owner/approver mezői TBD-k.","Jelölje ki a vezetői szponzort, projektvezetőt, IBF-et, jogi reviewert, kontrollgazdákat és minden P0 akció felelősét/jóváhagyóját.",Jóváhagyott projekt-RACI és kitöltött P0 owner/approver mezők.,"Aláírt RACI, vezetői döntés, actions.csv review log.",P0,M0_STARTUP,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,5,2026-07-01,B0,NOW_B0,,partial,orchestrator,G2_SECURITY_LEGAL,A-001,no,
A-037,11,11.1;11.2;11.8;11.14,Szervezet,Adathordozók védelme,SRC-008,audit_gap,59–64,audited,"Az adathordozók felelőse, hozzáférése, törlése, újrahasználata és használati korlátozása hiányosan szabályozott vagy bizonyított.","Készítsen adathordozó-leltárt, felelősségi rendet, hozzáférési, törlési, szállítási és újrahasználati minimumeljárást.",Adathordozó-védelmi eljárás és nyilvántartás.,"Médialeltár, jóváhagyott törlési módszer, hozzáférési lista, mintajegyzőkönyv és megsemmisítési/újrahasználati bizonyíték.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,60,2026-08-25,B0,NOW_B0,,yes,remediation_planner,G2_SECURITY_LEGAL,,no,
A-038,14,14.1;14.2;14.3;14.5;14.8;14.9;14.11;14.12;14.13,Szervezet,Személyi biztonság,SRC-008,audit_gap,81–90,audited,"A munkakör-besorolás, háttérellenőrzés, kilépés/áthelyezés, külső személyek, nyilatkoztatás és biztonsági felelősség hiányos.","Alakítson ki szerepkör-alapú személyi biztonsági folyamatot a belépéstől a kilépésig, HR/IT/jogi felelősségekkel és határidőkkel.",Jóváhagyott personnel security és joiner-mover-leaver csomag.,"Munkakör-besorolás, ellenőrzési szabály, checklist, hozzáférés-visszavonási SLA, nyilatkozat és mintafolyamat-evidencia.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,60,2026-08-25,B0,NOW_B0,,partial,remediation_planner,G2_SECURITY_LEGAL,A-015,no,
A-039,15,15.1;15.2;15.4;15.5;15.20,Mind,Kockázatkezelés,SRC-008,audit_gap,90–95;178–179;267–268;357–358,audited,"A kockázatkezelési felülvizsgálat, besorolási indoklás, kommunikáció, ellátásilánc-scope és kockázatválasz hiányos.","Egységesítse a kockázati módszertant, kockázati étvágyat, nyilvántartást, gazdákat, kezelési döntéseket és felülvizsgálati ciklust.","Jóváhagyott risk methodology, risk register és treatment workflow.","Kockázati skála, elfogadási hatáskör, mintakockázatok, kezelési döntések, review log és vezetői jóváhagyás.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,45,2026-08-10,B0,NOW_B0,,yes,remediation_planner,G2_SECURITY_LEGAL,A-005;A-011,no,
A-040,13,13.1;13.2;13.3;13.4;13.11,Mind,Biztonságtervezés,SRC-008,audit_gap,76–80;174–177;264–266;353–356,audited,"A rendszerbiztonsági tervek több EIR-nél hiányosak, a függőségek, fenyegetések, testreszabás, jóváhagyás és felülvizsgálat nem teljes.","Frissítse a három auditált EIR rendszerbiztonsági tervét egységes sablon szerint, függőségekkel, fenyegetésekkel, kontrolltestreszabással és review-ciklussal.",Három jóváhagyott rendszerbiztonsági terv és közös sablon.,"Verziózott tervek, EIR-owner és IBF jóváhagyás, dependency/threat mapping, változásnapló és megismertetési nyom.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,60,2026-08-25,B0,NOW_B0,,yes,report_writer,G1_DOMAIN_REVIEW,A-005;A-011;A-039,no,
A-041,16,16.1;16.2;16.3;16.7;16.8;16.15;16.99,Mind,Biztonságos beszerzés és életciklus,SRC-008,audit_gap,96–100;180–185;269–274;359–364,audited,"A biztonsági követelmények, felelősségek, dokumentáció, támogatási életciklus és szerződéses kontrollok nem következetesen épülnek be a beszerzésbe.","Vezessen be security-by-procurement minimumkövetelményt, szerződéses checklistet, lifecycle/support gate-et és kivételkezelést.",Jóváhagyott beszerzési biztonsági checklist és szerződéses követelményminta.,"Kitöltött mintachecklist, szerződéses klauzulák, support/EOL döntés, kivétel és jóváhagyás.",P1,M2_31_90D,NEW,Pásztor András,Lángi Zoltán,receipt_date_plus_days,75,2026-09-09,B0,NOW_B0,,yes,cost_guard,G5_PURCHASE,A-010;A-021;A-029,no,
